func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
2,1525,436.21652,27.78348,41.9,21155,436.21652,2.86,-1,1,-1,
2,1526,710.8484,27.78349,64.3,95576,710.8484,4.43,-1,1,-1,
2,1527,711.34906,27.78354,64.3,46596,711.34906,4.43,-1,1,-1,
2,1528,474.23398,27.78473,41.6,526268,474.23398,2.86,-1,1,-1,
2,1529,443.2157,27.78569,44.5,30026,443.2157,3.06,-1,1,-1,
2,1530,378.7036,27.78636,36.9,18807,378.7036,2.51,-1,1,-1,
2,1531,361.15903,27.78716,32.7,23531,361.15903,2.24,-1,1,-1,
2,1532,710.3468,27.78814,64.4,117780,710.3468,4.43,-1,1,-1,
2,1533,336.1943,27.78842,37.1,24982,336.1943,2.58,-1,1,-1,
2,1534,474.9011,27.78866,41.5,87459,474.9011,2.86,-1,1,-1,
2,1535,721.31177,27.78907,95.6,39785,721.31177,6.57,-1,1,-1,
2,1536,552.3091,27.7893,86,35314,552.3091,5.95,-1,1,-1,
2,1537,350.19052,27.79143,35.5,26227,350.19052,2.44,-1,1,-1,
2,1538,499.9376,27.79527,46.6,36328,499.9376,3.2,-1,1,-1,
2,1539,475.2361,27.79537,41.6,22154,475.2361,2.86,-1,1,-1,
2,1540,434.69385,27.79915,38.1,27119,434.69385,2.65,-1,1,-1,
2,1541,500.2711,27.80266,46.5,40077,500.2711,3.2,-1,1,-1,
2,1542,467.89792,27.80274,41.3,33558,467.89792,2.86,-1,1,-1,
2,1543,642.84985,27.81263,61.2,70684,642.84985,4.23,-1,1,-1,
2,1544,810.71924,27.81419,68.2,11589,810.71924,4.7,-1,1,-1,
2,1545,749.40356,27.81646,70.9,26824,749.40356,4.85,-1,1,-1,
2,1546,583.10565,27.8247,52.9,27817,583.10565,3.61,-1,1,-1,
2,1547,561.62726,27.8305,43.8,42594,561.62726,2.99,-1,1,-1,
2,1548,613.2998,27.83271,54.4,43925,613.2998,3.74,-1,1,-1,
2,1549,560.7644,27.83308,44,51425,560.7644,3.05,-1,1,-1,
2,1550,561.1002,27.83348,43.9,21784,561.1002,2.99,-1,1,-1,
2,1551,560.4284,27.83397,43.9,67947,560.4284,2.99,-1,1,-1,
2,1552,582.6109,27.84615,52.9,57777,582.6109,3.61,-1,1,-1,
2,1553,582.9603,27.84638,52.9,65044,582.9603,3.61,-1,1,-1,
2,1554,582.459,27.84667,52.9,116019,582.459,3.61,-1,1,-1,
2,1555,783.39,27.85032,72.6,25809,783.39,4.99,-1,1,-1,
2,1556,583.8193,27.85457,52.9,130487,583.8193,3.61,-1,1,-1,
2,1557,840.93396,27.8546,81.2,30182,840.93396,5.6,-1,1,-1,
2,1558,582.81946,27.85517,53,1383299,582.81946,3.68,-1,1,-1,
2,1559,560.29126,27.85534,44,1111852,560.29126,3.05,-1,1,-1,
2,1560,560.9575,27.85918,44,545790,560.9575,3.05,-1,1,-1,
2,1561,583.3189,27.8597,53,575692,583.3189,3.68,-1,1,-1,
2,1562,560.62415,27.86028,44,994323,560.62415,3.05,-1,1,-1,
2,1563,842.4192,27.86052,76.3,10334,842.4192,5.25,-1,1,-1,
2,1564,800.056,27.86235,61,28205,800.056,4.22,-1,1,-1,
2,1565,951.471,27.8644,135,26980,951.471,9.32,-1,1,-1,
2,1566,582.31836,27.86583,53,1962772,582.31836,3.68,-1,1,-1,
2,1567,627.02954,27.86644,50.1,21794,627.02954,3.47,-1,1,-1,
2,1568,612.8014,27.86766,54.8,40342,612.8014,3.74,-1,1,-1,
2,1569,746.684,27.86932,67.7,25608,746.684,4.64,-1,1,-1,
2,1570,839.93164,27.87045,81.2,57139,839.93164,5.6,-1,1,-1,
2,1571,1224.5928,27.87088,108.6,46162,1224.5928,7.45,-1,1,-1,
2,1572,1225.0907,27.87371,109.3,54403,1225.0907,7.52,-1,1,-1,
2,1573,584.31903,27.87393,53.2,27182,584.31903,3.68,-1,1,-1,
2,1574,825.0598,27.87399,72.1,29093,825.0598,4.98,-1,1,-1,
2,1575,613.0494,27.87421,54.7,57637,613.0494,3.74,-1,1,-1,
