func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
2,358,444.20963,21.36854,40.6,114659,444.20963,2.79,-1,1,-1,
2,359,569.32336,21.37205,84.6,32598,569.32336,5.81,-1,1,-1,
2,360,434.70383,21.37715,40.9,46182,434.70383,2.79,-1,1,-1,
2,361,355.0664,21.37855,43.8,99598,355.0664,3,-1,1,-1,
2,362,488.23007,21.39659,44.3,73354,488.23007,3.06,-1,1,-1,
2,363,302.1593,21.41667,30.2,44885,302.1593,2.11,-1,1,-1,
2,364,487.72757,21.4207,44.3,181080,487.72757,3.06,-1,1,-1,
2,365,450.68088,21.43337,38,22640,450.68088,2.65,-1,1,-1,
2,366,423.2215,21.43413,38.3,29432,423.2215,2.65,-1,1,-1,
2,367,723.3043,21.4537,64,15229,723.3043,4.43,-1,1,-1,
2,368,374.17578,21.45514,34.9,20047,374.17578,2.37,-1,1,-1,
2,369,434.21185,21.45642,37.9,44174,434.21185,2.58,-1,1,-1,
2,370,373.67297,21.46488,34.9,49425,373.67297,2.37,-1,1,-1,
2,371,488.73126,21.46867,44.2,19653,488.73126,3.06,-1,1,-1,
2,372,603.31104,21.46954,86.1,136240,603.31104,5.95,-1,1,-1,
2,373,422.7201,21.47275,38.1,50418,422.7201,2.65,-1,1,-1,
2,374,844.4329,21.47697,114.7,66720,844.4329,7.87,-1,1,-1,
2,375,602.3089,21.47727,86,464401,602.3089,5.95,-1,1,-1,
2,376,449.1774,21.4788,40.2,75564,449.1774,2.79,-1,1,-1,
2,377,433.71176,21.47928,37.7,97727,433.71176,2.58,-1,1,-1,
2,378,450.1785,21.48062,38.3,22018,450.1785,2.65,-1,1,-1,
2,379,449.6787,21.482,38.4,73012,449.6787,2.65,-1,1,-1,
2,380,301.65854,21.48245,30.2,122680,301.65854,2.11,-1,1,-1,
2,381,358.19965,21.48583,34.6,48944,358.19965,2.37,-1,1,-1,
2,382,604.332,21.48908,84.2,34044,604.332,5.81,-1,1,-1,
2,383,845.43787,21.49106,115.7,25935,845.43787,7.94,-1,1,-1,
2,384,491.25583,21.53513,68.3,84900,491.25583,4.72,-1,1,-1,
2,385,542.2265,21.53756,45.9,54691,542.2265,3.12,-1,1,-1,
2,386,541.72565,21.54061,45.8,70726,541.72565,3.12,-1,1,-1,
2,387,492.26083,21.54539,68.2,22698,492.26083,4.72,-1,1,-1,
2,388,581.80505,21.56662,54.8,21055,581.80505,3.74,-1,1,-1,
2,389,387.32108,21.56824,36.4,26163,387.32108,2.51,-1,1,-1,
2,390,581.3072,21.56824,54.9,55400,581.3072,3.74,-1,1,-1,
2,391,495.75558,21.56838,46.2,27079,495.75558,3.2,-1,1,-1,
2,392,388.20746,21.56847,36.7,22995,388.20746,2.51,-1,1,-1,
2,393,524.7651,21.57042,48.4,82341,524.7651,3.34,-1,1,-1,
2,394,524.2647,21.57053,48.6,258504,524.2647,3.34,-1,1,-1,
2,395,722.8121,21.57054,63.800003,14017,722.8121,4.37,-1,1,-1,
2,396,580.30414,21.57077,54.9,248143,580.30414,3.74,-1,1,-1,
2,397,387.87302,21.57094,36.6,103719,387.87302,2.51,-1,1,-1,
2,398,387.2064,21.57132,36.5,532005,387.2064,2.51,-1,1,-1,
2,399,580.806,21.57266,54.9,192240,580.806,3.74,-1,1,-1,
2,400,523.763,21.57333,48.5,456826,523.763,3.34,-1,1,-1,
2,401,387.5389,21.5734,36.5,349987,387.5389,2.51,-1,1,-1,
2,402,495.25107,21.57368,46.3,59994,495.25107,3.2,-1,1,-1,
2,403,525.263,21.57419,48.9,19853,525.263,3.34,-1,1,-1,
2,404,567.2896,21.60429,48.3,386459,567.2896,3.33,-1,1,-1,
2,405,567.7879,21.60564,48.4,209838,567.7879,3.33,-1,1,-1,
2,406,568.29297,21.61711,48.4,65888,568.29297,3.33,-1,1,-1,
2,407,523.2812,21.66454,46.4,105735,523.2812,3.2,-1,1,-1,
2,408,458.74222,21.69065,85.9,11852,458.74222,5.89,-1,1,-1,
2,409,459.00403,21.69182,42.7,65904,459.00403,2.93,-1,1,-1,
2,410,459.50043,21.69194,42.8,23670,459.50043,2.93,-1,1,-1,
2,411,459.3707,21.69724,42.8,56373,459.3707,2.93,-1,1,-1,
2,412,458.869,21.70398,42.8,119773,458.869,2.93,-1,1,-1,
2,413,489.27267,21.70437,67.7,22086,489.27267,4.65,-1,1,-1,
2,414,200.13805,21.70508,31.2,108607,200.13805,2.18,-1,1,-1,
2,415,485.70108,21.70905,41.2,31720,485.70108,2.86,-1,1,-1,
2,416,459.24484,21.71305,42.9,984036,459.24484,2.93,-1,1,-1,
2,417,474.73825,21.71316,43.4,26285,474.73825,3,-1,1,-1,
2,418,450.7302,21.71517,44.1,28070,450.7302,3.06,-1,1,-1,
2,419,689.3501,21.71589,90.8,283625,689.3501,6.23,-1,1,-1,
2,420,465.73145,21.71617,42.4,20712,465.73145,2.93,-1,1,-1,
2,421,458.73993,21.71646,70.8,20407,458.73993,4.86,-1,1,-1,
2,422,619.315,21.7165,80.4,27128,619.315,5.54,-1,1,-1,
2,423,485.19785,21.71676,41,19195,485.19785,2.86,-1,1,-1,
2,424,299.1693,21.71793,42.8,25938,299.1693,2.94,-1,1,-1,
2,425,459.7443,21.71815,42.9,315198,459.7443,2.93,-1,1,-1,
2,426,449.73587,21.71832,43.7,18931,449.73587,3,-1,1,-1,
2,427,690.3511,21.72049,90.9,83857,690.3511,6.23,-1,1,-1,
2,428,618.3149,21.72086,80.5,74955,618.3149,5.54,-1,1,-1,
2,429,458.74448,21.72402,42.9,1866925,458.74448,2.93,-1,1,-1,
2,430,812.418,21.72529,114.7,33484,812.418,7.87,-1,1,-1,
2,431,460.24475,21.72705,42.9,58071,460.24475,2.93,-1,1,-1,
2,432,401.72147,21.72755,37.6,42682,401.72147,2.58,-1,1,-1,
2,433,450.22897,21.72833,43.9,92601,450.22897,3,-1,1,-1,
2,434,691.35406,21.73343,91,21491,691.35406,6.3,-1,1,-1,
2,435,571.23865,21.80878,51,19065,571.23865,3.54,-1,1,-1,
2,436,355.06583,21.81143,43.6,92890,355.06583,3,-1,1,-1,
2,437,570.24066,21.81617,50.7,55293,570.24066,3.47,-1,1,-1,
2,438,876.42163,21.818,113.7,19647,876.42163,7.81,-1,1,-1,
2,439,514.28253,21.82176,69.9,39754,514.28253,4.79,-1,1,-1,
2,440,570.7417,21.83272,50.8,45351,570.7417,3.47,-1,1,-1,
2,441,638.2704,21.84452,81.8,32523,638.2704,5.61,-1,1,-1,
2,442,641.27026,21.84615,57.2,37012,641.27026,3.95,-1,1,-1,
2,443,639.9176,21.86061,57,28680,639.9176,3.95,-1,1,-1,
2,444,639.7682,21.87087,57,758551,639.7682,3.95,-1,1,-1,
2,445,640.2698,21.87453,57.2,469623,640.2698,3.95,-1,1,-1,
2,446,445.15387,21.88516,35.7,11358,445.15387,2.44,-1,1,-1,
2,447,640.7702,21.88539,57.1,157656,640.7702,3.95,-1,1,-1,
2,448,483.2728,21.89091,45.3,55022,483.2728,3.13,-1,1,-1,
2,449,483.77356,21.89247,45.6,29022,483.77356,3.13,-1,1,-1,
2,450,603.29083,21.89559,84,14476,603.29083,5.81,-1,1,-1,
2,451,482.77216,21.89794,45.4,94181,482.77216,3.13,-1,1,-1,
2,452,519.9133,21.97051,43.6,23375,519.9133,3,-1,1,-1,
