func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
2,524,419.2273,22.63169,64.9,12269,419.2273,4.44,-1,1,-1,
2,525,789.4626,22.63205,115,26783,789.4626,7.95,-1,1,-1,
2,526,396.23788,22.63669,36.9,72845,396.23788,2.51,-1,1,-1,
2,527,426.22006,22.63697,40.8,17940,426.22006,2.79,-1,1,-1,
2,528,386.23123,22.63869,38,36707,386.23123,2.65,-1,1,-1,
2,529,609.3257,22.64768,54,26944,609.3257,3.74,-1,1,-1,
2,530,676.3809,22.65071,95.7,69522,676.3809,6.57,-1,1,-1,
2,531,395.35416,22.65092,36.7,30435,395.35416,2.51,-1,1,-1,
2,532,395.2359,22.65297,63.199997,10715,395.2359,4.38,-1,1,-1,
2,533,677.3843,22.6532,96.3,21124,677.3843,6.64,-1,1,-1,
2,534,578.3162,22.66532,81.5,61806,578.3162,5.61,-1,1,-1,
2,535,577.3149,22.66604,81.2,212815,577.3149,5.61,-1,1,-1,
2,536,395.2368,22.66895,37,652818,395.2368,2.58,-1,1,-1,
2,537,395.73825,22.6694,36.9,297769,395.73825,2.51,-1,1,-1,
2,538,546.7719,22.68031,48.1,37137,546.7719,3.33,-1,1,-1,
2,539,407.21884,22.68182,36.9,90974,407.21884,2.51,-1,1,-1,
2,540,610.3264,22.68215,56.7,28314,610.3264,3.88,-1,1,-1,
2,541,544.80676,22.68237,50.7,28028,544.80676,3.47,-1,1,-1,
2,542,406.88553,22.68386,36.9,134095,406.88553,2.51,-1,1,-1,
2,543,407.5512,22.68542,37.1,41998,407.5512,2.58,-1,1,-1,
2,544,547.27466,22.69869,47.9,21733,547.27466,3.26,-1,1,-1,
2,545,599.4378,22.69926,50.3,32157,599.4378,3.47,-1,1,-1,
2,546,600.2954,22.70219,50.3,147602,600.2954,3.47,-1,1,-1,
2,547,599.7946,22.70272,50.4,500698,599.7946,3.47,-1,1,-1,
2,548,600.7955,22.70311,50.5,44701,600.7955,3.47,-1,1,-1,
2,549,599.293,22.70491,50.4,827717,599.293,3.47,-1,1,-1,
2,550,514.2937,22.70568,74.2,196213,514.2937,5.13,-1,1,-1,
2,551,515.29645,22.70616,74.3,59928,515.29645,5.13,-1,1,-1,
2,552,609.8268,22.70902,56,50154,609.8268,3.88,-1,1,-1,
2,553,417.2406,22.70975,59.7,23224,417.2406,4.1,-1,1,-1,
2,554,258.15182,22.71136,30.3,11619,258.15182,2.11,-1,1,-1,
2,555,201.12234,22.71255,29.7,24353,201.12234,2.04,-1,1,-1,
2,556,314.6941,22.71267,34.2,22764,314.6941,2.38,-1,1,-1,
2,557,257.65152,22.71291,29.9,62391,257.65152,2.04,-1,1,-1,
2,558,314.19296,22.71498,34.4,64303,314.19296,2.38,-1,1,-1,
2,559,610.823,22.71549,56.3,15463,610.823,3.88,-1,1,-1,
2,560,544.3035,22.71952,50.8,49796,544.3035,3.47,-1,1,-1,
2,561,441.28598,22.72309,64.7,56093,441.28598,4.44,-1,1,-1,
2,562,586.33624,22.73634,51.6,12399,586.33624,3.54,-1,1,-1,
